symbol,price,rsi,vol_ratio,atr_pct,trend,p1,er1,median1,p3,er3,median3,p5,er5,median5,analogs,quality,score,stop,target1,target2,rr1,rr2,valid_return,valid_probability,valid_rr,valid_quality,valid_trend,not_extreme,trade,watch,action
VEDL,253.89999389648438,35.1962159496867,0.746713393051285,0.031699666000093295,-0.059221982398955264,0.5426380979495644,0.0015076985625790957,0.002244155842287987,0.6885046258615024,0.016135705066297495,0.02088383986485487,0.8206111005832548,0.030405295069475174,0.01649027764768929,22,0.8321045675137855,0.3215380384815601,241.82717639056796,259.20240071070623,261.6198981290449,0.4392021010524967,0.6394451194824475,True,True,False,True,False,True,False,False,REJECT
BOSCHLTD,47435.0,52.266624445496795,0.717043733446729,0.023044905419091346,0.06066614574360063,0.6008828165233866,0.0029227447498142442,0.004560877252607232,0.6446691135075168,0.008919465046317498,0.009213773640181722,0.6446691135075168,0.005367454155385953,0.006739518513977583,22,0.8479887729360507,0.31791159868177143,45795.2973671681,47872.05535262202,48004.22,0.26654549664727195,0.34714831128673185,True,True,False,True,True,True,False,False,REJECT
SIEMENS,3790.0,36.416858138920965,0.9530129293048609,0.026205359892725735,-0.011157117635565594,0.8187916790850688,0.0059920506765508185,0.007249828697605598,0.7314424160571105,0.008539549690664295,0.0067349805422642905,0.6888746259318071,0.014926690298695948,0.007104431881910789,22,0.8453004795847469,0.27465534961328714,3641.022529009854,3822.364893327618,3846.5721562320578,0.21724689721547844,0.37973631755233483,True,True,False,True,True,True,False,False,REJECT
BEL,385.29998779296875,31.693624671253048,1.486481666004408,0.02012005968926927,-0.04882534056926535,0.5994255214970309,0.004518663091611396,0.0016665933972311864,0.7757762940411691,0.01003025847458344,0.010037090351681321,0.7307466933603427,0.013283874754775424,0.012689307984721565,22,0.8169945358577683,0.24759346152387687,373.67159966396486,389.1672785829485,390.41826457382706,0.33257324635852276,0.44015358999689225,True,True,False,True,False,True,False,False,REJECT
AUROPHARMA,1647.300048828125,50.93732928778707,0.4197652498784446,0.02374426149503799,0.023966550817442478,0.5606594360235028,0.006158233418638582,0.002432149623908364,0.6027646269644574,0.008446688569173653,0.002411905474342224,0.5048465299256356,0.009086899246418974,0.0033571502508807916,22,0.8623855468204356,0.21985673729602576,1588.6291641478792,1661.2142793205608,1667.0676494140625,0.23715733226570257,0.33692351314745406,True,False,False,True,True,True,False,False,REJECT
EICHERMOT,7454.0,31.059680212753733,0.7701725060232316,0.019175911052417206,-0.03860624628110598,0.6741845972871874,0.004605394101127278,0.004853303831403699,0.7733454527962362,0.007806089978079152,0.006131859234180026,0.6831347562590133,0.012399982394898215,0.007192350491622368,22,0.8087788981650409,0.21523707418032126,7239.594138522923,7512.186594696603,7546.429468771571,0.2713852797481637,0.43109581116303963,True,True,False,True,False,True,False,False,REJECT
DIVISLAB,9176.0,58.558880159948366,0.7789510168506425,0.021888455269595066,0.11313370597356087,0.5082270632651682,0.0028789750268108866,0.0007932680500296607,0.5517500102570086,0.0056878112006700276,0.0022435278011340154,0.5517500102570086,0.0030856928459618168,0.004966145487045992,22,0.8255587278563086,0.2142100341725446,8874.727301669294,9231.056,9286.112000000001,0.1827447369278904,0.3654894738557808,False,True,False,True,True,True,False,False,REJECT
BAJAJ-AUTO,11423.0,41.70078633565085,0.9491302730235484,0.019370296474737002,0.004315134975452661,0.590081357210328,0.003576536756755156,0.002577448577636865,0.5023951683531903,0.0022318463438264708,0.0024757946922353558,0.7433506395743622,0.010403604649989384,0.011228470992042827,22,0.8478750324708126,0.15142773611542792,11091.099655053618,11491.538,11560.076000000001,0.20650174380226313,0.41300348760452626,True,False,False,True,True,True,False,False,REJECT
HEROMOTOCO,5218.5,38.90939466057002,1.1291967707017796,0.02288584974900448,-0.022926332766364577,0.5488012451927677,0.0018969133684112168,0.001688048844121881,0.6392480205503114,0.010419397802085558,0.007380952683150088,0.595791003118307,0.004248353228294867,0.014790350848633671,22,0.8547781268410382,0.14848958630542028,5039.35528962723,5272.873627430183,5295.683445903595,0.3035179063732359,0.4308441245236311,True,True,False,True,False,True,False,False,REJECT
HAVELLS,1088.4000244140625,20.001136956424347,0.9730343811783201,0.026032550372170383,-0.11220737631946986,0.590379843608276,0.003516372866250404,0.002340478576841276,0.5862472289038054,0.008554275949994358,0.011538657443715183,0.553022929811806,0.016876941043958343,0.017395652757232094,22,0.7831742608828447,0.14119770433414144,1045.8992817231167,1100.9586994575077,1107.3334532997324,0.29549307255095675,0.4454846594881591,True,True,False,True,False,True,False,False,REJECT
